Nome do Servico;Identificador Webhook (Slug);Preco Base (USD);Preco Dependente (USD);Tipo de Cadastro (CRM)
"Canada Tourist Visa – Premium Plan (Main applicant)";"canada-tourist-premium";"900.00";"99.00";"Novo Cadastro (Cadastro)"
"Canada Tourist Visa – Revolution ETA (Main applicant)";"canada-tourist-revolution";"299.00";"49.00";"Novo Cadastro (Cadastro)"
"Canada Work Consultancy (Main applicant)";"canada-work";"1800.00";"150.00";"Novo Cadastro (Cadastro)"
"Change of Status - Full Process Payment";"Change of Status - Full Process Payment";"2200.00";"150.00";"Novo Cadastro (Cadastro)"
"Common consultation";"consultation-common";"29.00";"150.00";"Consulta/Avulso"
"Consulta com Matheus Brant";"consultation-brant";"500.00";"150.00";"Consulta/Avulso"
"Defense per applicant – retry after refused visa (tourist or student)";"visa-retry-defense";"0.00";"0.00";"Consulta/Avulso"
"EB-2 - Full Process Payment";"eb2-visa";"24750.00";"1000.00";"Novo Cadastro (Cadastro)"
"EB-3 - Full Process Payment";"eb3-visa";"23750.00";"1000.00";"Novo Cadastro (Cadastro)"
"EB-3 Installment Plan – Initial Payment (Contract & Annex)";"eb3-installment-initial";"3000.00";"500.00";"Novo Cadastro (Cadastro)"
"EB-3 Installment Plan – Job Catalog Delivery Payment (Annex)";"eb3-installment-catalog";"3000.00";"500.00";"Etapa (Cliente Existente)"
"EB-3 Installment Plan – Monthly Installment (Annex)";"eb3-installment-monthly";"650.00";"0.00";"Etapa (Cliente Existente)"
"EB-3 Step Plan – Initial Payment (Contract & Annex)";"eb3-step-initial";"5000.00";"500.00";"Novo Cadastro (Cadastro)"
"EB-3 Step Plan – Job Catalog Delivery Payment (Annex)";"eb3-step-catalog";"5000.00";"500.00";"Etapa (Cliente Existente)"
"Guia Extensão de Status (I-539)";"extensao-status";"200.00";"100.00";"Consulta/Avulso"
"Guia Troca de Status";"troca-status";"350.00";"100.00";"Consulta/Avulso"
"Guia Visto Americano B1/B2";"visto-b1-b2";"200.00";"50.00";"Consulta/Avulso"
"Guia Visto Americano F-1";"visto-f1";"350.00";"100.00";"Consulta/Avulso"
"INITIAL Application - Full Process Payment";"INITIAL Application - Full Process Payment";"2200.00";"150.00";"Novo Cadastro (Cadastro)"
"RFE Defense (when immigration requests additional evidence)";"rfe-defense";"0.00";"0.00";"Consulta/Avulso"
"Scholarship Maintenance Fee";"scholarship-maintenance-fee";"105.00";"0.00";"Etapa (Cliente Existente)"
"TRANSFER - Full Process Payment";"TRANSFER - Full Process Payment";"2200.00";"150.00";"Novo Cadastro (Cadastro)"
"U.S. B1 Premium Plan (Main applicant)";"b1-premium";"900.00";"99.00";"Novo Cadastro (Cadastro)"
"U.S. B1 Revolution Plan (Main applicant)";"b1-revolution";"299.00";"49.00";"Novo Cadastro (Cadastro)"
"U.S. Visa - Change of Status - I-20 Control";"cos-i20-control";"900.00";"150.00";"Etapa (Cliente Existente)"
"U.S. Visa - Change of Status - Scholarship";"cos-scholarship";"900.00";"150.00";"Etapa (Cliente Existente)"
"U.S. Visa - Change of Status - Selection Process";"cos-selection-process";"400.00";"150.00";"Novo Cadastro (Cadastro)"
"U.S. Visa - Initial Application - I-20 Control";"initial-i20-control";"900.00";"150.00";"Etapa (Cliente Existente)"
"U.S. Visa - Initial Application - Scholarship";"initial-scholarship";"900.00";"150.00";"Etapa (Cliente Existente)"
"U.S. Visa - Initial Application - Selection Process";"initial-selection-process";"400.00";"150.00";"Novo Cadastro (Cadastro)"
"U.S. Visa - Transfer - I-20 Control";"transfer-i20-control";"900.00";"150.00";"Etapa (Cliente Existente)"
"U.S. Visa - Transfer - Scholarship";"transfer-scholarship";"900.00";"150.00";"Etapa (Cliente Existente)"
"U.S. Visa - Transfer - Selection Process";"transfer-selection-process";"400.00";"150.00";"Novo Cadastro (Cadastro)"
"U.S. Visa E-2, L-1 (Main applicant)";"e2-l1-visa";"12999.00";"150.00";"Novo Cadastro (Cadastro)"
"U.S. Visa EB-2 (Main Applicant) – Initial Payment";"eb2-niw-initial-payment";"5000.00";"1000.00";"Novo Cadastro (Cadastro)"
"U.S. Visa O-1 (Main applicant)";"o1-visa";"11000.00";"150.00";"Novo Cadastro (Cadastro)"
